redgauntlet;by;sir;
by;sir;walter;
sir;walter;scott;
walter;scott;contents;
scott;contents;introduction;
contents;introduction;text;
introduction;text;letters;
text;letters;i;
letters;i;xiii;
i;xiii;chapters;
xiii;chapters;i;
chapters;i;xxiii;
i;xxiii;conclusion;
xxiii;conclusion;notes;
conclusion;notes;glossary;
notes;glossary;original;
glossary;original;transcribers;
original;transcribers;note;
transcribers;note;footnotes;
note;footnotes;in;
footnotes;in;the;
in;the;printed;
the;printed;book;
printed;book;have;
book;have;been;
have;been;inserted;
been;inserted;in;
inserted;in;the;
in;the;etext;
the;etext;in;
etext;in;square;
in;square;brackets;
square;brackets;close;
brackets;close;to;
close;to;the;
to;the;place;
the;place;where;
place;where;they;
where;they;were;
they;were;referenced;
were;referenced;by;
referenced;by;a;
by;a;suffix;
a;suffix;in;
suffix;in;the;
in;the;original;
the;original;text;
original;text;text;
text;text;in;
text;in;italics;
in;italics;has;
italics;has;been;
has;been;written;
been;written;in;
written;in;capital;
in;capital;letters;
capital;letters;there;
letters;there;are;
there;are;some;
are;some;numbered;
some;numbered;notes;
numbered;notes;at;
notes;at;the;
at;the;end;
the;end;of;
end;of;the;
of;the;text;
the;text;that;
text;that;are;
that;are;referred;
are;referred;to;
referred;to;by;
to;by;their;
by;their;numbers;
their;numbers;with;
numbers;with;brief;
with;brief;notes;
brief;notes;also;
notes;also;in;
also;in;square;
in;square;brackets;
square;brackets;embedded;
brackets;embedded;in;
embedded;in;the;
in;the;text;
the;text;introduction;
text;introduction;the;
introduction;the;jacobite;
the;jacobite;enthusiasm;
jacobite;enthusiasm;of;
enthusiasm;of;the;
of;the;eighteenth;
the;eighteenth;century;
eighteenth;century;particularly;
century;particularly;during;
particularly;during;the;
during;the;rebellion;
the;rebellion;of;
rebellion;of;afforded;
of;afforded;a;
afforded;a;theme;
a;theme;perhaps;
theme;perhaps;the;
perhaps;the;finest;
the;finest;that;
finest;that;could;
that;could;be;
could;be;selected;
be;selected;for;
selected;for;fictitious;
for;fictitious;composition;
fictitious;composition;founded;
composition;founded;upon;
founded;upon;real;
upon;real;or;
real;or;probable;
or;probable;incident;
probable;incident;this;
incident;this;civil;
this;civil;war;
civil;war;and;
war;and;its;
and;its;remarkable;
its;remarkable;events;
remarkable;events;were;
events;were;remembered;
were;remembered;by;
remembered;by;the;
by;the;existing;
the;existing;generation;
existing;generation;without;
generation;without;any;
without;any;degree;
any;degree;of;
degree;of;the;
of;the;bitterness;
the;bitterness;of;
bitterness;of;spirit;
of;spirit;which;
spirit;which;seldom;
which;seldom;fails;
seldom;fails;to;
fails;to;attend;
to;attend;internal;
attend;internal;dissension;
internal;dissension;the;
dissension;the;highlanders;
the;highlanders;who;
highlanders;who;formed;
who;formed;the;
formed;the;principal;
the;principal;strength;
principal;strength;of;
strength;of;charles;
of;charles;edwards;
charles;edwards;army;
edwards;army;were;
army;were;an;
were;an;ancient;
an;ancient;and;
ancient;and;high-spirited;
and;high-spirited;race;
high-spirited;race;peculiar;
race;peculiar;in;
peculiar;in;their;
in;their;habits;
their;habits;of;
habits;of;war;
of;war;and;
war;and;of;
and;of;peace;
of;peace;brave;
peace;brave;to;
brave;to;romance;
to;romance;and;
romance;and;exhibiting;
